school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,how_long_delayed,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,incident_number,last_updated_on,breakdown_or_running_late,school_age_or_prek
2015-2016,1272996,Special Ed AM Run,2256,K355,Won`t Start,15879,2016-06-03 06:03:00,2016-06-03 06:05:00,Brooklyn,"RELIANT TRANS, INC. (B232",,0,Yes,Yes,Yes,2016-06-03 06:05:00,,2016-06-03 06:05:05,Breakdown,School-Age
2025-2026,2010564,Special Ed AM Run,1709,M616,Heavy Traffic,04839,2025-09-03 07:59:00,2025-09-03 08:01:00,Manhattan,PHILLIP BUS CORP (B2192),46-60 Min,3,Yes,No,No,2025-09-03 08:01:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2010704,General Ed AM Run,251106,M1089,Heavy Traffic,"04108,04112",2025-09-04 06:20:00,2025-09-04 06:59:00,Manhattan,SNT BUS INC,31-45 Min,0,No,Yes,No,2025-09-04 06:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2010857,Special Ed AM Run,12,Q943,Other,"24229,24421",2025-09-04 07:35:00,2025-09-04 07:47:00,Queens,ALLIED TRANSIT CORP.,31-45 Min,2,No,Yes,No,2025-09-04 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2011004,Special Ed AM Run,13987,K200,Heavy Traffic,"21100,21370,21436,21472",2025-09-04 08:02:00,2025-09-04 08:14:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,8,No,No,No,2025-09-04 08:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2011142,General Ed PM Run,111,R9264,Heavy Traffic,"31018,31065",2025-09-04 14:53:00,2025-09-04 14:54:00,Staten Island,PIONEER TRANSPORTATION CORP,31-45 Min,0,No,No,No,2025-09-04 14:54:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2011281,General Ed AM Run,355,R1308,Heavy Traffic,"31004,31132",2025-09-05 06:58:00,2025-09-05 06:59:00,Staten Island,PIONEER TRANSPORTATION CORP,31-45 Min,0,Yes,No,No,2025-09-05 06:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2011404,Special Ed AM Run,HT1506,N808,Heavy Traffic,75029,2025-09-05 08:04:00,2025-09-05 08:05:00,Nassau County,"THOMAS BUSES, INC. (B2321)",0-15 Min,1,No,No,No,2025-09-05 08:05:00,,1900-01-01 00:00:00,Running Late,School-Age
2004-2005,805883,Special Ed PM Run,9479,S582,,15766,2005-02-28 14:50:00,2005-02-28 15:41:00,,USA UNITED TRANSIT,,0,Yes,Yes,Yes,2005-02-28 15:41:00,,2005-02-28 15:42:06,Breakdown,School-Age
2025-2026,2011698,General Ed AM Run,625,X2251,Heavy Traffic,09629,2025-09-08 07:27:00,2025-09-08 07:28:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,16,Yes,No,No,2025-09-08 07:28:00,,1900-01-01 00:00:00,Running Late,School-Age
